updated:{param:relative-date},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2021-04-03,0,7,8,3,4,23
2021-04-02,0,9,3,6,1,23
2021-04-01,1,10,1,6,0,24
2021-03-31,0,8,2,6,0,24
2021-03-30,0,4,7,5,0,24
2021-03-29,0,0,8,6,0,24
2021-03-28,0,3,5,6,0,24
2021-03-27,0,3,5,6,1,23
2021-03-26,0,7,5,2,1,23
2021-03-25,0,7,6,0,1,23
2021-03-24,0,6,7,0,1,23
2021-03-23,2,3,7,0,1,24
2021-03-22,0,7,3,0,1,24
2021-03-21,0,9,1,0,1,24
2021-03-20,3,8,0,0,1,24
2021-03-19,1,4,0,1,3,24
2021-03-18,1,6,0,1,4,24
2021-03-17,5,0,0,2,4,24
2021-03-16,2,2,1,4,4,24
2021-03-15,0,2,3,4,3,24
2021-03-14,0,3,2,4,3,24
2021-03-13,0,3,2,4,4,23
2021-03-12,2,3,3,3,3,23
2021-03-11,1,4,4,5,1,23
2021-03-10,1,3,4,5,1,23
2021-03-09,0,3,5,5,1,23
2021-03-08,0,5,3,4,1,23
2021-03-07,0,7,1,4,1,23
2021-03-06,0,7,1,4,1,23
2021-03-05,1,5,2,3,1,23
2021-03-04,1,4,4,0,1,23
2021-03-03,0,4,5,0,1,23
2021-03-02,0,4,6,0,1,23
2021-03-01,0,5,5,0,1,23
2021-02-28,1,8,1,0,1,23
2021-02-27,1,9,0,0,2,22
2021-02-26,2,7,0,0,2,22
2021-02-25,3,4,0,1,1,22
2021-02-24,3,5,0,2,3,22
2021-02-23,2,1,3,3,3,23
2021-02-22,0,3,5,3,4,23
2021-02-21,0,8,0,3,4,23
2021-02-20,1,7,0,3,4,23
2021-02-19,1,5,0,3,4,23
2021-02-18,0,5,3,1,4,23
2021-02-17,1,1,4,1,3,23
2021-02-16,0,0,5,1,3,23
2021-02-15,0,0,5,1,3,23
2021-02-14,0,4,1,1,3,23
2021-02-13,0,5,0,1,3,23
2021-02-12,0,6,0,1,5,21
2021-02-11,4,2,0,3,6,22
2021-02-10,4,1,4,3,6,22
2021-02-09,2,3,6,5,5,22
2021-02-08,0,6,5,6,4,22
2021-02-07,0,7,4,6,4,22
2021-02-06,2,9,0,6,4,22
2021-02-05,1,7,0,6,5,22
2021-02-04,1,7,3,3,7,20
2021-02-03,2,3,4,3,6,20
2021-02-02,3,1,5,2,6,20
2021-02-01,0,1,8,1,7,20
2021-01-31,0,6,3,1,7,20
2021-01-30,0,7,2,1,7,20
2021-01-29,1,7,1,1,7,20
2021-01-28,2,5,0,1,7,20
2021-01-27,1,7,1,4,3,20
2021-01-26,3,4,1,5,2,20
2021-01-25,0,2,3,5,2,21
2021-01-24,0,4,1,5,2,21
2021-01-23,1,4,0,5,2,21
2021-01-22,1,3,0,5,3,20
2021-01-21,3,1,0,5,3,20
2021-01-20,3,1,6,1,4,20
2021-01-19,0,1,9,3,2,20
2021-01-18,0,4,7,2,2,20
2021-01-17,0,5,6,2,2,20
2021-01-16,1,8,2,2,6,16
2021-01-15,2,8,1,2,6,16
2021-01-14,0,10,0,2,7,17
2021-01-13,9,4,0,2,7,17
2021-01-12,1,7,4,1,9,19
2021-01-10,0,2,6,4,9,20
2021-01-09,0,1,6,4,9,20
2021-01-08,0,6,1,4,9,20
2021-01-07,0,7,1,3,10,19
2021-01-06,0,8,2,4,8,19
2021-01-05,0,3,3,8,5,19
2021-01-04,0,1,7,6,6,20
2021-01-03,0,2,6,6,6,20
2021-01-02,1,3,4,6,6,20
2021-01-01,0,5,3,6,6,20
2020-12-31,1,6,0,11,3,19
2020-12-30,0,7,3,9,2,19
2020-12-29,1,5,9,5,2,19
2020-12-28,0,0,11,6,2,21
2020-12-27,0,1,10,6,2,21
2020-12-26,0,5,6,6,2,21
2020-12-25,0,11,0,6,2,21
2020-12-24,0,11,4,2,2,21
2020-12-23,3,8,6,0,2,21
2020-12-22,4,0,9,2,2,21
2020-12-21,0,1,15,2,5,19
2020-12-20,0,11,5,2,7,17
2020-12-19,0,15,1,2,7,17
2020-12-18,1,14,1,3,6,17
2020-12-17,4,12,1,3,6,17
2020-12-16,3,6,1,5,6,16
2020-12-15,2,7,5,5,6,16
2020-12-14,6,2,9,4,6,16
2020-12-13,1,10,5,5,6,16
2020-12-12,0,13,4,4,7,15
2020-12-11,4,13,3,3,7,15
2020-12-10,8,11,3,2,8,15
2020-12-09,10,11,4,1,8,15
2020-12-08,14,11,5,1,7,15
2020-12-07,0,14,12,3,8,16
2020-12-06,0,18,7,3,8,16
2020-12-05,3,20,3,5,6,16
2020-12-04,4,15,1,7,4,16
2020-12-03,2,17,1,6,5,16
2020-12-02,8,7,1,7,5,16
2020-12-01,7,4,4,10,4,16
2020-11-30,0,2,9,12,2,16
2020-11-29,0,6,5,12,2,16
2020-11-28,0,7,6,10,2,16
2020-11-27,0,11,7,5,2,16
2020-11-26,5,6,8,5,1,16
2020-11-25,2,9,10,4,1,16
2020-11-24,5,7,9,4,0,16
2020-11-23,2,13,6,2,1,16
2020-11-22,0,15,4,2,2,15
2020-11-21,6,10,3,2,2,15
2020-11-20,6,7,4,4,2,17
2020-11-19,5,12,2,2,2,17
2020-11-18,3,12,4,1,3,17
2020-11-17,4,10,5,0,4,17
2020-11-16,0,10,8,2,3,18
2020-11-15,0,13,4,2,3,18
2020-11-14,0,14,3,2,3,18
