created:{param:relative-date},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-02-06,1,0,2,2,4,18
2019-02-05,0,0,2,2,4,18
2019-02-04,0,0,3,1,4,18
2019-02-03,0,4,2,1,5,18
2019-02-02,0,4,2,2,5,17
2019-02-01,2,3,1,3,4,17
2019-01-31,2,2,0,4,3,17
2019-01-30,0,2,1,3,3,17
2019-01-29,1,1,1,3,3,31
2019-01-28,1,0,2,5,3,31
2019-01-27,0,1,2,6,2,32
2019-01-26,0,3,1,5,2,32
2019-01-25,0,3,3,3,2,32
2019-01-24,1,2,4,2,2,32
2019-01-23,3,0,4,4,1,32
2019-01-22,0,1,4,5,1,32
2019-01-21,0,4,4,4,1,32
2019-01-20,0,6,3,3,3,30
2019-01-19,1,6,2,3,3,30
2019-01-18,2,3,2,3,3,30
2019-01-17,3,2,1,4,3,29
2019-01-16,4,2,4,2,4,29
2019-01-15,0,2,5,1,4,29
2019-01-14,2,2,5,1,4,30
2019-01-13,1,1,6,1,4,31
2019-01-12,0,6,1,1,4,31
2019-01-11,1,6,0,1,4,32
2019-01-10,1,8,2,0,4,33
2019-01-09,4,1,3,1,4,34
2019-01-08,0,2,2,1,4,34
2019-01-07,1,2,1,2,5,35
2019-01-06,0,3,0,2,5,35
2019-01-05,1,2,0,2,6,34
2019-01-04,2,1,2,3,7,32
2019-01-03,1,1,2,3,8,31
2019-01-02,1,1,2,3,8,31
2019-01-01,0,2,2,6,7,30
