is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2021-09-29,0,0,0,0,0,0
2021-09-28,0,0,0,0,0,0
2021-09-27,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0
2021-09-25,0,0,0,0,0,0
2021-09-24,0,0,0,0,0,0
2021-09-23,0,0,0,0,0,0
2021-09-22,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,0
2021-09-20,0,0,0,0,0,0
2021-09-19,0,0,0,0,0,0
2021-09-18,0,0,0,0,0,0
2021-09-17,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0
2021-09-15,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0
2021-09-11,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0
