is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2021-11-21,4,0,0,2,2,10
2021-11-20,6,1,0,2,2,10
2021-11-19,5,1,0,2,3,9
2021-11-18,5,0,0,2,3,9
2021-11-17,2,1,2,1,3,9
2021-11-16,2,0,1,0,2,9
2021-11-15,1,4,2,1,2,9
2021-11-14,1,5,2,1,2,9
2021-11-13,5,1,1,1,2,9
2021-11-12,7,1,0,2,2,9
2021-11-11,5,2,0,1,2,9
2021-11-10,7,1,1,1,2,9
2021-11-09,6,0,1,0,3,8
2021-11-08,0,3,2,0,3,9
2021-11-07,3,1,1,0,2,9
2021-11-06,3,2,1,1,2,9
2021-11-05,8,2,0,1,2,9
2021-11-04,6,1,0,1,1,9
2021-11-03,1,6,0,2,1,9
2021-11-02,4,3,0,2,1,9
2021-11-01,4,0,0,2,1,10
2021-10-31,4,0,0,1,1,10
2021-10-30,3,0,1,2,1,10
2021-10-29,3,0,1,2,1,10
2021-10-28,3,2,1,1,1,10
2021-10-27,3,2,1,1,1,10
2021-10-26,5,2,1,1,1,10
2021-10-25,4,1,1,1,1,9
2021-10-24,5,0,0,1,1,9
2021-10-23,4,1,1,1,1,9
2021-10-22,5,1,1,1,1,10
2021-10-21,6,0,1,1,1,10
2021-10-20,6,0,0,1,1,10
2021-10-19,5,1,0,1,1,10
2021-10-18,6,1,0,0,1,10
2021-10-17,6,0,1,0,1,10
2021-10-16,1,1,1,0,1,10
2021-10-15,3,0,1,0,1,10
2021-10-14,2,2,0,0,1,10
2021-10-13,4,1,0,0,1,10
2021-10-12,2,1,0,0,1,10
2021-10-11,3,0,0,0,9,2
2021-10-10,2,0,0,1,8,2
2021-10-09,2,0,0,2,8,2
2021-10-08,2,0,0,2,9,1
2021-10-07,2,0,0,2,9,1
2021-10-06,2,0,0,2,9,1
2021-10-05,2,0,0,2,9,1
2021-10-04,2,0,0,1,9,1
2021-10-03,3,0,1,0,9,1
2021-10-02,2,0,2,0,9,1
2021-10-01,2,0,2,0,9,1
2021-09-30,2,0,1,0,9,1
2021-09-29,2,1,0,0,9,1
2021-09-28,2,2,0,0,9,1
2021-09-27,3,1,0,0,9,1
2021-09-26,3,0,0,0,1,2
2021-09-25,3,0,0,8,2,2
2021-09-24,3,0,0,8,2,2
2021-09-23,3,0,0,8,1,2
2021-09-22,3,0,0,9,0,2
2021-09-21,1,1,0,10,0,2
2021-09-20,2,0,0,10,0,2
2021-09-19,1,0,0,2,0,2
2021-09-18,0,0,8,2,0,2
2021-09-17,1,0,8,2,0,2
2021-09-16,1,0,8,1,0,2
2021-09-15,0,0,1,0,0,2
2021-09-14,0,8,2,0,0,2
2021-09-13,0,8,2,0,0,2
2021-09-12,9,0,1,0,0,2
2021-09-11,8,1,0,0,0,2
2021-09-08,1,1,1,0,0,10
