is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2021-10-08,0,0,0,1,1,12
2021-10-07,0,0,0,1,2,11
2021-10-06,0,0,0,1,1,11
2021-10-05,0,0,0,2,1,11
2021-10-04,0,0,0,2,1,11
2021-10-03,1,0,0,1,1,11
2021-10-02,0,0,1,1,1,11
2021-10-01,0,0,1,1,1,11
2021-09-30,0,0,1,1,1,11
2021-09-29,0,0,0,0,1,11
2021-09-28,0,1,1,0,1,11
2021-09-27,0,1,1,0,1,11
2021-09-26,1,0,1,0,1,11
2021-09-25,0,0,2,0,1,11
2021-09-24,0,1,2,0,1,11
2021-09-23,0,1,0,0,1,11
2021-09-22,1,2,0,0,0,11
2021-09-21,0,2,0,1,0,11
2021-09-20,2,0,0,1,0,11
2021-09-19,1,0,0,1,0,11
2021-09-18,0,0,0,1,0,11
2021-09-17,1,0,0,1,0,11
2021-09-16,1,0,0,1,0,11
2021-09-15,0,0,0,0,0,11
2021-09-14,0,0,1,0,0,11
2021-09-13,0,0,1,0,0,11
2021-09-12,1,0,1,0,0,11
2021-09-11,0,0,0,0,0,11
2021-09-08,1,0,0,0,0,12
